time,combat_kills,combat_sugar_stolen,nagents,total_attacks,red_initiated_attacks,blue_initiated_attacks,red_attack_rate,blue_attack_rate
0,0,0.0,44,0,0,0,0.0,0.0
0,0,0.0,50,0,0,0,0.0,0.0
1,7,68.0,43,7,5,2,0.7142857142857143,0.2857142857142857
2,11,127.0,39,4,2,2,0.5,0.5
3,15,188.0,35,4,1,3,0.25,0.75
4,17,233.0,33,2,0,2,0.0,1.0
5,17,233.0,33,0,0,0,0.0,0.0
6,17,233.0,33,0,0,0,0.0,0.0
7,19,270.0,31,2,0,2,0.0,1.0
8,22,288.0,28,3,1,2,0.3333333333333333,0.6666666666666666
9,23,304.0,27,1,0,1,0.0,1.0
10,25,338.0,25,2,0,2,0.0,1.0
11,28,373.0,22,2,0,2,0.0,1.0
12,28,373.0,22,0,0,0,0.0,0.0
13,28,373.0,22,0,0,0,0.0,0.0
14,28,373.0,22,0,0,0,0.0,0.0
15,29,396.0,21,1,0,1,0.0,1.0
16,29,396.0,21,0,0,0,0.0,0.0
17,29,396.0,21,0,0,0,0.0,0.0
18,31,404.0,19,2,1,1,0.5,0.5
19,31,404.0,19,0,0,0,0.0,0.0
20,32,414.0,18,1,0,1,0.0,1.0
21,32,414.0,18,0,0,0,0.0,0.0
22,32,414.0,18,0,0,0,0.0,0.0
23,32,414.0,18,0,0,0,0.0,0.0
24,32,414.0,18,0,0,0,0.0,0.0
25,32,414.0,18,0,0,0,0.0,0.0
26,32,414.0,18,0,0,0,0.0,0.0
27,32,414.0,18,0,0,0,0.0,0.0
28,32,414.0,18,0,0,0,0.0,0.0
29,32,414.0,18,0,0,0,0.0,0.0
30,32,414.0,18,0,0,0,0.0,0.0
31,32,414.0,18,0,0,0,0.0,0.0
32,32,414.0,18,0,0,0,0.0,0.0
33,32,414.0,18,0,0,0,0.0,0.0
34,32,414.0,18,0,0,0,0.0,0.0
35,32,414.0,18,0,0,0,0.0,0.0
36,32,414.0,18,0,0,0,0.0,0.0
37,32,414.0,18,0,0,0,0.0,0.0
38,32,414.0,18,0,0,0,0.0,0.0
39,32,414.0,18,0,0,0,0.0,0.0
40,32,414.0,18,0,0,0,0.0,0.0
41,32,414.0,18,0,0,0,0.0,0.0
42,32,414.0,18,0,0,0,0.0,0.0
43,32,414.0,18,0,0,0,0.0,0.0
44,32,414.0,18,0,0,0,0.0,0.0
45,32,414.0,18,0,0,0,0.0,0.0
46,32,414.0,18,0,0,0,0.0,0.0
47,32,414.0,18,0,0,0,0.0,0.0
48,32,414.0,18,0,0,0,0.0,0.0
49,32,414.0,18,0,0,0,0.0,0.0
50,32,414.0,18,0,0,0,0.0,0.0
51,32,414.0,18,0,0,0,0.0,0.0
52,32,414.0,18,0,0,0,0.0,0.0
53,33,452.0,17,1,1,0,1.0,0.0
54,33,452.0,17,0,0,0,0.0,0.0
55,33,452.0,17,0,0,0,0.0,0.0
56,33,452.0,17,0,0,0,0.0,0.0
57,33,452.0,17,0,0,0,0.0,0.0
58,33,452.0,17,0,0,0,0.0,0.0
59,33,452.0,17,0,0,0,0.0,0.0
60,33,452.0,17,0,0,0,0.0,0.0
61,33,452.0,17,0,0,0,0.0,0.0
62,33,452.0,17,0,0,0,0.0,0.0
63,33,452.0,17,0,0,0,0.0,0.0
64,33,452.0,17,0,0,0,0.0,0.0
65,33,452.0,17,0,0,0,0.0,0.0
66,34,457.0,16,1,0,1,0.0,1.0
67,35,489.0,15,0,0,0,0.0,0.0
68,35,489.0,15,0,0,0,0.0,0.0
69,35,489.0,15,0,0,0,0.0,0.0
70,35,489.0,15,0,0,0,0.0,0.0
71,36,505.0,14,1,0,1,0.0,1.0
72,36,505.0,14,0,0,0,0.0,0.0
73,36,505.0,14,0,0,0,0.0,0.0
74,36,505.0,14,0,0,0,0.0,0.0
75,37,532.0,13,1,0,1,0.0,1.0
76,37,532.0,13,0,0,0,0.0,0.0
77,37,532.0,13,0,0,0,0.0,0.0
78,37,532.0,13,0,0,0,0.0,0.0
79,37,532.0,13,0,0,0,0.0,0.0
80,37,532.0,13,0,0,0,0.0,0.0
81,37,532.0,13,0,0,0,0.0,0.0
82,37,532.0,13,0,0,0,0.0,0.0
83,37,532.0,13,0,0,0,0.0,0.0
84,38,538.0,12,1,0,1,0.0,1.0
85,39,545.0,11,1,0,1,0.0,1.0
86,39,545.0,11,0,0,0,0.0,0.0
87,39,545.0,11,0,0,0,0.0,0.0
88,40,561.0,10,1,0,1,0.0,1.0
89,41,571.0,9,1,0,1,0.0,1.0
90,41,571.0,9,0,0,0,0.0,0.0
91,41,571.0,9,0,0,0,0.0,0.0
92,41,571.0,9,0,0,0,0.0,0.0
93,41,571.0,9,0,0,0,0.0,0.0
94,41,571.0,9,0,0,0,0.0,0.0
95,41,571.0,9,0,0,0,0.0,0.0
96,41,571.0,9,0,0,0,0.0,0.0
97,41,571.0,9,0,0,0,0.0,0.0
98,41,571.0,9,0,0,0,0.0,0.0
99,41,571.0,9,0,0,0,0.0,0.0
100,41,571.0,9,0,0,0,0.0,0.0
101,41,571.0,9,0,0,0,0.0,0.0
102,41,571.0,9,0,0,0,0.0,0.0
103,41,571.0,9,0,0,0,0.0,0.0
104,41,571.0,9,0,0,0,0.0,0.0
105,41,571.0,9,0,0,0,0.0,0.0
106,42,580.0,8,1,1,0,1.0,0.0
107,43,589.0,7,1,1,0,1.0,0.0
108,44,611.0,6,1,1,0,1.0,0.0
109,44,611.0,6,0,0,0,0.0,0.0
110,44,611.0,6,0,0,0,0.0,0.0
111,44,611.0,6,0,0,0,0.0,0.0
112,44,611.0,6,0,0,0,0.0,0.0
113,44,611.0,6,0,0,0,0.0,0.0
114,44,611.0,6,0,0,0,0.0,0.0
115,44,611.0,6,0,0,0,0.0,0.0
116,44,611.0,6,0,0,0,0.0,0.0
117,44,611.0,6,0,0,0,0.0,0.0
118,44,611.0,6,0,0,0,0.0,0.0
119,44,611.0,6,0,0,0,0.0,0.0
120,46,650.0,4,1,1,0,1.0,0.0
121,46,650.0,4,0,0,0,0.0,0.0
122,46,650.0,4,0,0,0,0.0,0.0
123,46,650.0,4,0,0,0,0.0,0.0
124,46,650.0,4,0,0,0,0.0,0.0
125,46,650.0,4,0,0,0,0.0,0.0
126,46,650.0,4,0,0,0,0.0,0.0
127,46,650.0,4,0,0,0,0.0,0.0
128,46,650.0,4,0,0,0,0.0,0.0
129,46,650.0,4,0,0,0,0.0,0.0
130,46,650.0,4,0,0,0,0.0,0.0
131,46,650.0,4,0,0,0,0.0,0.0
132,46,650.0,4,0,0,0,0.0,0.0
133,46,650.0,4,0,0,0,0.0,0.0
134,46,650.0,4,0,0,0,0.0,0.0
135,46,650.0,4,0,0,0,0.0,0.0
136,47,677.0,3,1,0,1,0.0,1.0
137,47,677.0,3,0,0,0,0.0,0.0
138,47,677.0,3,0,0,0,0.0,0.0
139,47,677.0,3,0,0,0,0.0,0.0
140,47,677.0,3,0,0,0,0.0,0.0
141,47,677.0,3,0,0,0,0.0,0.0
142,47,677.0,3,0,0,0,0.0,0.0
143,47,677.0,3,0,0,0,0.0,0.0
144,47,677.0,3,0,0,0,0.0,0.0
145,47,677.0,3,0,0,0,0.0,0.0
146,47,677.0,3,0,0,0,0.0,0.0
147,47,677.0,3,0,0,0,0.0,0.0
148,47,677.0,3,0,0,0,0.0,0.0
149,47,677.0,3,0,0,0,0.0,0.0
150,47,677.0,3,0,0,0,0.0,0.0
