time,#101,#102,#103,#104,nagents
0,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,50
1,3.884297118205747,"Dict{String, Real}(""unique_cultures"" => 49, ""max_possible"" => 2048, ""diversity_ratio"" => 0.02392578125)",0.0,0.0,50
2,3.8635285764551224,"Dict{String, Real}(""unique_cultures"" => 48, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0234375)",0.0,0.0,49
3,3.820651977005379,"Dict{String, Real}(""unique_cultures"" => 46, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0224609375)",0.0,0.0,47
4,3.7841896339182655,"Dict{String, Real}(""unique_cultures"" => 44, ""max_possible"" => 2048, ""diversity_ratio"" => 0.021484375)",0.0,0.0,44
5,3.6888794541139402,"Dict{String, Real}(""unique_cultures"" => 40, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01953125)",0.0,0.0,40
6,3.637586159726386,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,38
7,3.637586159726386,"Dict{String, Real}(""unique_cultures"" => 38, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0185546875)",0.0,0.0,38
8,3.610917912644226,"Dict{String, Real}(""unique_cultures"" => 37, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01806640625)",0.0,0.0,37
9,3.583518938456111,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,36
10,3.583518938456111,"Dict{String, Real}(""unique_cultures"" => 36, ""max_possible"" => 2048, ""diversity_ratio"" => 0.017578125)",0.0,0.0,36
11,3.5263605246161633,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,34
12,3.5263605246161633,"Dict{String, Real}(""unique_cultures"" => 34, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0166015625)",0.0,0.0,34
13,3.4224142040147285,"Dict{String, Real}(""unique_cultures"" => 31, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01513671875)",0.0,0.0,32
14,3.3892680315457953,"Dict{String, Real}(""unique_cultures"" => 30, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0146484375)",0.0,0.0,31
15,3.319492576154752,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,29
16,3.367295829986472,"Dict{String, Real}(""unique_cultures"" => 29, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01416015625)",0.0,0.0,29
17,3.367295829986472,"Dict{String, Real}(""unique_cultures"" => 29, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01416015625)",0.0,0.0,29
18,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
19,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
20,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
21,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
22,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
23,3.332204510175204,"Dict{String, Real}(""unique_cultures"" => 28, ""max_possible"" => 2048, ""diversity_ratio"" => 0.013671875)",0.0,0.0,28
24,3.2444926304072967,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,27
25,3.2444926304072967,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,27
26,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
27,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
28,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
29,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
30,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
31,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
32,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
33,3.2580965380214835,"Dict{String, Real}(""unique_cultures"" => 26, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0126953125)",0.0,0.0,26
34,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
35,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
36,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
37,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
38,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
39,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
40,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
41,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
42,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
43,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
44,3.2188758248681983,"Dict{String, Real}(""unique_cultures"" => 25, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01220703125)",0.0,0.0,25
45,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
46,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
47,3.1634240504234032,"Dict{String, Real}(""unique_cultures"" => 24, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01171875)",0.0,0.0,25
48,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
49,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
50,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
51,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
52,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
53,3.0870423502280255,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
54,3.0870423502280264,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
55,3.0870423502280264,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
56,3.052520501533813,"Dict{String, Real}(""unique_cultures"" => 22, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0107421875)",0.0,0.0,25
57,3.107972275978608,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
58,3.107972275978608,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
59,3.107972275978608,"Dict{String, Real}(""unique_cultures"" => 23, ""max_possible"" => 2048, ""diversity_ratio"" => 0.01123046875)",0.0,0.0,25
60,2.912494403331052,"Dict{String, Real}(""unique_cultures"" => 19, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00927734375)",0.0,0.0,21
61,2.9264175554979963,"Dict{String, Real}(""unique_cultures"" => 19, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00927734375)",0.0,0.0,20
62,2.798513256943294,"Dict{String, Real}(""unique_cultures"" => 17, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00830078125)",0.0,0.0,19
63,2.9444389791664403,"Dict{String, Real}(""unique_cultures"" => 19, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00927734375)",0.0,0.0,19
64,2.9444389791664403,"Dict{String, Real}(""unique_cultures"" => 19, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00927734375)",0.0,0.0,19
65,2.890371757896165,"Dict{String, Real}(""unique_cultures"" => 18, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0087890625)",0.0,0.0,18
66,2.890371757896165,"Dict{String, Real}(""unique_cultures"" => 18, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0087890625)",0.0,0.0,18
67,2.833213344056216,"Dict{String, Real}(""unique_cultures"" => 17, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00830078125)",0.0,0.0,17
68,2.772588722239781,"Dict{String, Real}(""unique_cultures"" => 16, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0078125)",0.0,0.0,16
69,2.615630577027551,"Dict{String, Real}(""unique_cultures"" => 14, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0068359375)",0.0,0.0,15
70,2.615630577027551,"Dict{String, Real}(""unique_cultures"" => 14, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0068359375)",0.0,0.0,15
71,2.5400363038209806,"Dict{String, Real}(""unique_cultures"" => 13, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00634765625)",0.0,0.0,14
72,2.5400363038209806,"Dict{String, Real}(""unique_cultures"" => 13, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00634765625)",0.0,0.0,14
73,2.5400363038209806,"Dict{String, Real}(""unique_cultures"" => 13, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00634765625)",0.0,0.0,14
74,2.458311329683084,"Dict{String, Real}(""unique_cultures"" => 12, ""max_possible"" => 2048, ""diversity_ratio"" => 0.005859375)",0.0,0.0,13
75,2.458311329683084,"Dict{String, Real}(""unique_cultures"" => 12, ""max_possible"" => 2048, ""diversity_ratio"" => 0.005859375)",0.0,0.0,13
76,2.3025850929940455,"Dict{String, Real}(""unique_cultures"" => 10, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0048828125)",0.0,0.0,10
77,2.1639556568820564,"Dict{String, Real}(""unique_cultures"" => 9, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00439453125)",0.0,0.0,10
78,1.9730014063936125,"Dict{String, Real}(""unique_cultures"" => 8, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00390625)",0.0,0.0,10
79,1.9730014063936125,"Dict{String, Real}(""unique_cultures"" => 8, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00390625)",0.0,0.0,10
80,1.9730014063936125,"Dict{String, Real}(""unique_cultures"" => 8, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00390625)",0.0,0.0,10
81,1.9730014063936125,"Dict{String, Real}(""unique_cultures"" => 8, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00390625)",0.0,0.0,10
82,1.9730014063936125,"Dict{String, Real}(""unique_cultures"" => 8, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00390625)",0.0,0.0,10
83,1.8310204811135162,"Dict{String, Real}(""unique_cultures"" => 7, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00341796875)",0.0,0.0,9
84,1.8891591637540217,"Dict{String, Real}(""unique_cultures"" => 7, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00341796875)",0.0,0.0,9
85,1.8891591637540217,"Dict{String, Real}(""unique_cultures"" => 7, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00341796875)",0.0,0.0,9
86,1.8891591637540217,"Dict{String, Real}(""unique_cultures"" => 7, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00341796875)",0.0,0.0,9
87,1.8891591637540217,"Dict{String, Real}(""unique_cultures"" => 7, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00341796875)",0.0,0.0,9
88,1.6674619334292948,"Dict{String, Real}(""unique_cultures"" => 6, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0029296875)",0.0,0.0,8
89,1.7478680974667573,"Dict{String, Real}(""unique_cultures"" => 6, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0029296875)",0.0,0.0,7
90,1.7478680974667573,"Dict{String, Real}(""unique_cultures"" => 6, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0029296875)",0.0,0.0,7
91,1.3321790402101223,"Dict{String, Real}(""unique_cultures"" => 4, ""max_possible"" => 2048, ""diversity_ratio"" => 0.001953125)",0.0,0.0,5
92,1.0397207708399179,"Dict{String, Real}(""unique_cultures"" => 3, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00146484375)",0.0,0.0,4
93,0.6931471805599453,"Dict{String, Real}(""unique_cultures"" => 2, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0009765625)",0.0,0.0,2
94,0.6931471805599453,"Dict{String, Real}(""unique_cultures"" => 2, ""max_possible"" => 2048, ""diversity_ratio"" => 0.0009765625)",0.0,0.0,2
95,0.0,"Dict{String, Real}(""unique_cultures"" => 1, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00048828125)",0.0,0.0,1
96,0.0,"Dict{String, Real}(""unique_cultures"" => 1, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00048828125)",0.0,0.0,1
97,0.0,"Dict{String, Real}(""unique_cultures"" => 1, ""max_possible"" => 2048, ""diversity_ratio"" => 0.00048828125)",0.0,0.0,1
98,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
99,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
100,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
101,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
102,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
103,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
104,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
105,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
106,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
107,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
108,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
109,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
110,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
111,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
112,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
113,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
114,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
115,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
116,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
117,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
118,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
119,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
120,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
121,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
122,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
123,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
124,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
125,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
126,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
127,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
128,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
129,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
130,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
131,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
132,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
133,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
134,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
135,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
136,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
137,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
138,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
139,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
140,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
141,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
142,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
143,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
144,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
145,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
146,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
147,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
148,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
149,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
150,0.0,"Dict{String, Real}(""unique_cultures"" => 0, ""max_possible"" => 0, ""diversity_ratio"" => 0.0)",0.0,0.0,0
